what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1395807670365
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1395807670366
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1395807670367
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1395807670369
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1395807670371
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1395807670373
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1395807670375
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1395807670375
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1395807670400
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1395807670401
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1395807670402
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1395807670404
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1395807670406
started,bundle,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools",1395807670421
started,bundle,org.jbpm.eclipse,5.5.0.Final,"org.jbpm.eclipse",1395807670421
os,sysinfo,,,"win32",1395807670427
arch,sysinfo,,,"x86",1395807670427
ws,sysinfo,,,"win32",1395807670427
locale,sysinfo,,,"en_US",1395807670427
processors,sysinfo,,,"8",1395807670428
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395807670428
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1395807670428
java.specification.name,sysinfo,,,"Java Platform API Specification",1395807670428
java.specification.vendor,sysinfo,,,"Oracle Corporation",1395807670428
java.specification.version,sysinfo,,,"1.7",1395807670428
java.vendor,sysinfo,,,"Oracle Corporation",1395807670428
java.version,sysinfo,,,"1.7.0_51",1395807670428
java.vm.info,sysinfo,,,"mixed mode, sharing",1395807670428
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1395807670428
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395807670428
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395807670428
java.vm.specification.version,sysinfo,,,"1.7",1395807670428
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395807670428
java.vm.version,sysinfo,,,"24.51-b03",1395807670428
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1395807670559
