what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1401687412893
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1401687413057
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401687424313
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401687430064
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401687487461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687489797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687526829
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401687529030
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401687536000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687537411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687549812
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401687551026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687564744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687741888
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401687817511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687819588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687821784
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401687822923
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401687857359
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401687863586
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401687890717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687893990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687904768
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401687907698
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401687909495
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401687914311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401687940619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688339666
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401688354822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688358724
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688376363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688425247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688473431
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401688485513
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401688493443
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401688504432
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401688528853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688531123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688540084
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401688581927
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401688583677
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401688591069
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401688618893
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401688629267
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401688708758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688710746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688713001
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401688713932
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1401688759487
activated,editor,org.drools.eclipse,5.5.0.Final,"org.drools.eclipse.flow.bpmn2.editor.BPMNModelEditor",1401688771909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1401688846238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688848895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401688852785
